Sample	aligned	error_rate
Batch5_Ctrl.CBE56_S10	99.54783033	0.23
Batch5_Ctrl.CBE57_S11	99.55959753	0.22
Batch5_Ctrl.CBE58_S12	99.58921261	0.21
Batch5_Ctrl.CBE60_S14	99.56324396	0.23
Batch5_Ctrl.CBE62_S16	99.68663524	0.23
Batch5_Ctrl.CBE63_S1	99.41006049	0.23
Batch5_Ctrl.CBE65_S3	99.54396761	0.23
Batch5_Ctrl.CBE66_S4	99.4574822	0.25
Batch5_Ctrl.CBE67_S5	99.47546105	0.23
Batch5_Ctrl.CBE68_S6	99.50196703	0.25
Batch5_Ctrl.CBE69_S7	99.46336706	0.23
Batch5_Ctrl.CBE71_S9	99.45539557	0.24
Batch5_Ctrl.CBE72_S10	99.49359987	0.25
Batch5_Ctrl.CBE73_S11	99.54883507	0.24
Batch5_Ctrl.CBE74_S12	99.59711301	0.23
Batch5_Ctrl.CBE75_S13	99.5343492	0.25
Batch5_Ctrl.CBE76_S14	99.54461972	0.25
Batch5_Ctrl.CBE77_S15	99.40113308	0.24
Batch5_Unctrl.CBE01_S1	99.50584347	0.29
Batch5_Unctrl.CBE02_S2	99.52622046	0.28
Batch5_Unctrl.CBE07_S7	99.54391593	0.26
Batch5_Unctrl.CBE11_S11	99.50951285	0.28
Batch5_Unctrl.CBE14_S14	99.54384277	0.26
Batch5_Unctrl.CBE19_S5	99.62027849	0.22
Batch5_Unctrl.CBE21_S7	99.67169347	0.23
Batch5_Unctrl.CBE25_S11	99.64159817	0.22
Batch5_Unctrl.CBE27_S13	99.67410832	0.22
Batch5_Unctrl.CBE49_S3	99.51535197	0.21
Batch5_Unctrl.CBE59_S13	99.58455578	0.22
Batch5_Unctrl.CBE61_S15	99.66951835	0.21
Batch5_Unctrl.CBE64_S2	99.46287892	0.23
Batch5_Unctrl.CBE70_S8	99.55055663	0.24
Batch6_Ctrl.CBF01_S1	99.55759239	0.26
Batch6_Ctrl.CBF02_S2	99.50176401	0.25
